,Year,Date,Time,Round,Stadium,City,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Outcome,Winner,TotalGoals
349,1982,01-Jul-82, 21:00 ,Group 1,Camp Nou,Barcelona ,Belgium,0,1,Soviet Union, ,A,Soviet Union,1
350,1982,02-Jul-82, 17:15 ,Group 3,Sarria,Barcelona ,Argentina,1,3,Brazil, ,A,Brazil,4
351,1982,02-Jul-82, 21:00 ,Group 2,Santiago Bernabeu,Madrid ,Germany FR,2,1,Spain, ,H,Germany FR,3
352,1982,04-Jul-82, 17:15 ,Group 4,Vicente Calderon,Madrid ,France,4,1,Northern Ireland, ,H,France,5
353,1982,04-Jul-82, 21:00 ,Group 1,Camp Nou,Barcelona ,Poland,0,0,Soviet Union, ,D,Draw,0
354,1982,05-Jul-82, 17:15 ,Group 3,Sarria,Barcelona ,Italy,3,2,Brazil, ,H,Italy,5
355,1982,05-Jul-82, 21:00 ,Group 2,Santiago Bernabeu,Madrid ,Spain,0,0,England, ,D,Draw,0
356,1982,08-Jul-82, 17:15 ,Semi-finals,Camp Nou,Barcelona ,Poland,0,2,Italy, ,A,Italy,2
357,1982,08-Jul-82, 21:00 ,Semi-finals,Ramon Sanchez Pizjuan,Seville ,Germany FR,3,3,France, win on penalties (5 - 4) ,D,Draw,6
358,1982,10-Jul-82, 20:00 ,Match for third place,Jose Rico Perez,Alicante ,Poland,3,2,France, ,H,Poland,5
359,1982,11-Jul-82, 20:00 ,Final,Santiago Bernabeu,Madrid ,Italy,3,1,Germany FR, ,H,Italy,4
360,1986,31-May-86, 12:00 ,Group A,Estadio Azteca,Mexico City ,Bulgaria,1,1,Italy, ,D,Draw,2
361,1986,01-Jun-86, 16:00 ,Group C,Nou Camp - Estadio Le�n,Leon ,Canada,0,1,France, ,A,France,1
362,1986,01-Jun-86, 12:00 ,Group D,Jalisco,Guadalajara ,Spain,0,1,Brazil, ,A,Brazil,1
363,1986,02-Jun-86, 12:00 ,Group C,Estadio Irapuato,Irapuato ,Soviet Union,6,0,Hungary, ,H,Soviet Union,6
364,1986,02-Jun-86, 12:00 ,Group A,Estadio Ol�mpico Universitario,Mexico City ,Argentina,3,1,Korea Republic, ,H,Argentina,4
365,1986,02-Jun-86, 16:00 ,Group F,Estadio Universitario,Monterrey ,Morocco,0,0,Poland, ,D,Draw,0
366,1986,03-Jun-86, 12:00 ,Group D,Tres de Marzo,Guadalajara ,Algeria,1,1,Northern Ireland, ,D,Draw,2
367,1986,03-Jun-86, 12:00 ,Group B,Estadio Azteca,Mexico City ,Belgium,1,2,Mexico, ,A,Mexico,3
368,1986,03-Jun-86, 16:00 ,Group F,Tecnologico,Monterrey ,Portugal,1,0,England, ,H,Portugal,1
369,1986,04-Jun-86, 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca ,Paraguay,1,0,Iraq, ,H,Paraguay,1
370,1986,04-Jun-86, 16:00 ,Group E,Neza,Nezahualcoyotl ,Scotland,0,1,Denmark, ,A,Denmark,1
371,1986,04-Jun-86, 12:00 ,Group E,Estadio Corregidora,Queretaro ,Uruguay,1,1,Germany FR, ,D,Draw,2
372,1986,05-Jun-86, 12:00 ,Group A,Cuauhtemoc,Puebla ,Italy,1,1,Argentina, ,D,Draw,2
373,1986,05-Jun-86, 12:00 ,Group C,Nou Camp - Estadio Le�n,Leon ,France,1,1,Soviet Union, ,D,Draw,2
374,1986,05-Jun-86, 16:00 ,Group A,Estadio Ol�mpico Universitario,Mexico City ,Korea Republic,1,1,Bulgaria, ,D,Draw,2
375,1986,06-Jun-86, 12:00 ,Group C,Estadio Irapuato,Irapuato ,Hungary,2,0,Canada, ,H,Hungary,2
376,1986,06-Jun-86, 12:00 ,Group D,Jalisco,Guadalajara ,Brazil,1,0,Algeria, ,H,Brazil,1
377,1986,06-Jun-86, 16:00 ,Group F,Tecnologico,Monterrey ,England,0,0,Morocco, ,D,Draw,0
378,1986,07-Jun-86, 12:00 ,Group D,Tres de Marzo,Guadalajara ,Northern Ireland,1,2,Spain, ,A,Spain,3
379,1986,07-Jun-86, 12:00 ,Group B,Estadio Azteca,Mexico City ,Mexico,1,1,Paraguay, ,D,Draw,2
380,1986,07-Jun-86, 16:00 ,Group F,Estadio Universitario,Monterrey ,Poland,1,0,Portugal, ,H,Poland,1
381,1986,08-Jun-86, 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca ,Iraq,1,2,Belgium, ,A,Belgium,3
382,1986,08-Jun-86, 16:00 ,Group E,Neza,Nezahualcoyotl ,Denmark,6,1,Uruguay, ,H,Denmark,7
383,1986,08-Jun-86, 12:00 ,Group E,Estadio Corregidora,Queretaro ,Germany FR,2,1,Scotland, ,H,Germany FR,3
384,1986,09-Jun-86, 12:00 ,Group C,Nou Camp - Estadio Le�n,Leon ,Hungary,0,3,France, ,A,France,3
385,1986,09-Jun-86, 12:00 ,Group C,Estadio Irapuato,Irapuato ,Soviet Union,2,0,Canada, ,H,Soviet Union,2
386,1986,10-Jun-86, 12:00 ,Group A,Cuauhtemoc,Puebla ,Korea Republic,2,3,Italy, ,A,Italy,5
387,1986,10-Jun-86, 12:00 ,Group A,Estadio Ol�mpico Universitario,Mexico City ,Argentina,2,0,Bulgaria, ,H,Argentina,2
388,1986,11-Jun-86, 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca ,Paraguay,2,2,Belgium, ,D,Draw,4
389,1986,11-Jun-86, 12:00 ,Group B,Estadio Azteca,Mexico City ,Iraq,0,1,Mexico, ,A,Mexico,1
390,1986,11-Jun-86, 16:00 ,Group F,Tres de Marzo,Guadalajara ,Portugal,1,3,Morocco, ,A,Morocco,4
391,1986,11-Jun-86, 16:00 ,Group F,Tecnologico,Monterrey ,England,3,0,Poland, ,H,England,3
392,1986,12-Jun-86, 12:00 ,Group D,Jalisco,Guadalajara ,Northern Ireland,0,3,Brazil, ,A,Brazil,3
393,1986,12-Jun-86, 12:00 ,Group D,Tecnologico,Monterrey ,Algeria,0,3,Spain, ,A,Spain,3
394,1986,13-Jun-86, 12:00 ,Group E,Neza,Nezahualcoyotl ,Scotland,0,0,Uruguay, ,D,Draw,0
395,1986,13-Jun-86, 12:00 ,Group E,Estadio Corregidora,Queretaro ,Denmark,2,0,Germany FR, ,H,Denmark,2
396,1986,15-Jun-86, 16:00 ,Round of 16,Nou Camp - Estadio Le�n,Leon ,Soviet Union,3,4,Belgium,Belgium win after extra time ,A,Belgium,7
397,1986,15-Jun-86, 12:00 ,Round of 16,Estadio Azteca,Mexico City ,Mexico,2,0,Bulgaria, ,H,Mexico,2
398,1986,16-Jun-86, 16:00 ,Round of 16,Cuauhtemoc,Puebla ,Argentina,1,0,Uruguay, ,H,Argentina,1
399,1986,16-Jun-86, 12:00 ,Round of 16,Jalisco,Guadalajara ,Brazil,4,0,Poland, ,H,Brazil,4
400,1986,17-Jun-86, 12:00 ,Round of 16,Estadio Ol�mpico Universitario,Mexico City ,Italy,0,2,France, ,A,France,2
401,1986,17-Jun-86, 16:00 ,Round of 16,Estadio Universitario,Monterrey ,Morocco,0,1,Germany FR, ,A,Germany FR,1
402,1986,18-Jun-86, 12:00 ,Round of 16,Estadio Azteca,Mexico City ,England,3,0,Paraguay, ,H,England,3
403,1986,18-Jun-86, 16:00 ,Round of 16,Estadio Corregidora,Queretaro ,Denmark,1,5,Spain, ,A,Spain,6
404,1986,21-Jun-86, 12:00 ,Quarter-finals,Jalisco,Guadalajara ,Brazil,1,1,France,France win on penalties (3 - 4) ,D,Draw,2
405,1986,21-Jun-86, 16:00 ,Quarter-finals,Estadio Universitario,Monterrey ,Germany FR,0,0,Mexico,Germany FR win on penalties (4 - 1) ,D,Draw,0
406,1986,22-Jun-86, 16:00 ,Quarter-finals,Cuauhtemoc,Puebla ,Spain,1,1,Belgium,Belgium win on penalties (4 - 5) ,D,Draw,2
407,1986,22-Jun-86, 12:00 ,Quarter-finals,Estadio Azteca,Mexico City ,Argentina,2,1,England, ,H,Argentina,3
408,1986,25-Jun-86, 12:00 ,Semi-finals,Jalisco,Guadalajara ,France,0,2,Germany FR, ,A,Germany FR,2
409,1986,25-Jun-86, 16:00 ,Semi-finals,Estadio Azteca,Mexico City ,Argentina,2,0,Belgium, ,H,Argentina,2
410,1986,28-Jun-86, 12:00 ,Match for third place,Cuauhtemoc,Puebla ,France,4,2,Belgium,France win after extra time ,H,France,6
411,1986,29-Jun-86, 12:00 ,Final,Estadio Azteca,Mexico City ,Argentina,3,2,Germany FR, ,H,Argentina,5
412,1990,08-Jun-90, 18:00 ,Group B,Giuseppe Meazza,Milan ,Argentina,0,1,Cameroon, ,A,Cameroon,1
413,1990,09-Jun-90, 17:00 ,Group B,Stadio San Nicola,Bari ,Soviet Union,0,2,Romania, ,A,Romania,2
414,1990,09-Jun-90, 17:00 ,Group D,Renato Dall Ara,Bologna ,United Arab Emirates,0,2,Colombia, ,A,Colombia,2
415,1990,09-Jun-90, 21:00 ,Group A,Stadio Olimpico,Rome ,Italy,1,0,Austria, ,H,Italy,1
416,1990,10-Jun-90, 17:00 ,Group A,Comunale,Florence ,USA,1,5,Czechoslovakia, ,A,Czechoslovakia,6
417,1990,10-Jun-90, 21:00 ,Group C,Stadio delle Alpi,Turin ,Brazil,2,1,Sweden, ,H,Brazil,3
418,1990,10-Jun-90, 21:00 ,Group D,Giuseppe Meazza,Milan ,Germany FR,4,1,Yugoslavia, ,H,Germany FR,5
419,1990,11-Jun-90, 17:00 ,Group C,Luigi Ferraris,Genoa ,Costa Rica,1,0,Scotland, ,H,Costa Rica,1
420,1990,11-Jun-90, 21:00 ,Group F,Sant Elia,Cagliari ,England,1,1,Republic of Ireland, ,D,Draw,2
421,1990,12-Jun-90, 17:00 ,Group E,Marc Antonio Bentegodi,Verona ,Belgium,2,0,Korea Republic, ,H,Belgium,2
422,1990,12-Jun-90, 21:00 ,Group F,Della Favorita,Palermo ,Netherlands,1,1,Egypt, ,D,Draw,2
423,1990,13-Jun-90, 17:00 ,Group E,Dacia Arena,Udine ,Uruguay,0,0,Spain, ,D,Draw,0
424,1990,13-Jun-90, 21:00 ,Group B,San Paolo,Naples ,Argentina,2,0,Soviet Union, ,H,Argentina,2
425,1990,14-Jun-90, 17:00 ,Group B,Stadio San Nicola,Bari ,Cameroon,2,1,Romania, ,H,Cameroon,3
426,1990,14-Jun-90, 17:00 ,Group D,Renato Dall Ara,Bologna ,Yugoslavia,1,0,Colombia, ,H,Yugoslavia,1
427,1990,14-Jun-90, 21:00 ,Group A,Stadio Olimpico,Rome ,Italy,1,0,USA, ,H,Italy,1
428,1990,15-Jun-90, 17:00 ,Group A,Comunale,Florence ,Austria,0,1,Czechoslovakia, ,A,Czechoslovakia,1
429,1990,15-Jun-90, 21:00 ,Group D,Giuseppe Meazza,Milan ,Germany FR,5,1,United Arab Emirates, ,H,Germany FR,6
430,1990,16-Jun-90, 17:00 ,Group C,Stadio delle Alpi,Turin ,Brazil,1,0,Costa Rica, ,H,Brazil,1
431,1990,16-Jun-90, 21:00 ,Group C,Luigi Ferraris,Genoa ,Sweden,1,2,Scotland, ,A,Scotland,3
432,1990,16-Jun-90, 21:00 ,Group F,Sant Elia,Cagliari ,England,0,0,Netherlands, ,D,Draw,0
433,1990,17-Jun-90, 17:00 ,Group F,Della Favorita,Palermo ,Republic of Ireland,0,0,Egypt, ,D,Draw,0
434,1990,17-Jun-90, 21:00 ,Group E,Dacia Arena,Udine ,Korea Republic,1,3,Spain, ,A,Spain,4
435,1990,17-Jun-90, 21:00 ,Group E,Marc Antonio Bentegodi,Verona ,Belgium,3,1,Uruguay, ,H,Belgium,4
436,1990,18-Jun-90, 21:00 ,Group B,San Paolo,Naples ,Argentina,1,1,Romania, ,D,Draw,2
437,1990,18-Jun-90, 21:00 ,Group B,Stadio San Nicola,Bari ,Cameroon,0,4,Soviet Union, ,A,Soviet Union,4
438,1990,19-Jun-90, 17:00 ,Group D,Giuseppe Meazza,Milan ,Germany FR,1,1,Colombia, ,D,Draw,2
439,1990,19-Jun-90, 17:00 ,Group D,Renato Dall Ara,Bologna ,Yugoslavia,4,1,United Arab Emirates, ,H,Yugoslavia,5
440,1990,19-Jun-90, 21:00 ,Group A,Stadio Olimpico,Rome ,Italy,2,0,Czechoslovakia, ,H,Italy,2
441,1990,19-Jun-90, 21:00 ,Group A,Comunale,Florence ,Austria,2,1,USA, ,H,Austria,3
442,1990,20-Jun-90, 21:00 ,Group C,Stadio delle Alpi,Turin ,Brazil,1,0,Scotland, ,H,Brazil,1
443,1990,20-Jun-90, 21:00 ,Group C,Luigi Ferraris,Genoa ,Sweden,1,2,Costa Rica, ,A,Costa Rica,3
444,1990,21-Jun-90, 17:00 ,Group E,Friuli,Udine ,Korea Republic,0,1,Uruguay, ,A,Uruguay,1
445,1990,21-Jun-90, 17:00 ,Group E,Marc Antonio Bentegodi,Verona ,Belgium,1,2,Spain, ,A,Spain,3
446,1990,21-Jun-90, 21:00 ,Group F,Della Favorita,Palermo ,Republic of Ireland,1,1,Netherlands, ,D,Draw,2
447,1990,21-Jun-90, 21:00 ,Group F,Sant Elia,Cagliari ,England,1,0,Egypt, ,H,England,1
448,1990,23-Jun-90, 17:00 ,Round of 16,San Paolo,Naples ,Cameroon,2,1,Colombia,Cameroon win after extra time ,H,Cameroon,3
449,1990,23-Jun-90, 21:00 ,Round of 16,Stadio San Nicola,Bari ,Czechoslovakia,4,1,Costa Rica, ,H,Czechoslovakia,5
450,1990,24-Jun-90, 17:00 ,Round of 16,Stadio delle Alpi,Turin ,Brazil,0,1,Argentina, ,A,Argentina,1
451,1990,24-Jun-90, 21:00 ,Round of 16,Giuseppe Meazza,Milan ,Germany FR,2,1,Netherlands, ,H,Germany FR,3
452,1990,25-Jun-90, 17:00 ,Round of 16,Luigi Ferraris,Genoa ,Republic of Ireland,0,0,Romania,Republic of Ireland win on penalties (5 - 4) ,D,Draw,0
453,1990,25-Jun-90, 21:00 ,Round of 16,Stadio Olimpico,Rome ,Italy,2,0,Uruguay, ,H,Italy,2
454,1990,26-Jun-90, 17:00 ,Round of 16,Marc Antonio Bentegodi,Verona ,Spain,1,2,Yugoslavia,Yugoslavia win after extra time ,A,Yugoslavia,3
455,1990,26-Jun-90, 21:00 ,Round of 16,Renato Dall Ara,Bologna ,England,1,0,Belgium,England win after extra time ,H,England,1
456,1990,30-Jun-90, 17:00 ,Quarter-finals,Comunale,Florence ,Yugoslavia,0,0,Argentina, win on penalties (2 - 3) ,D,Draw,0
457,1990,30-Jun-90, 21:00 ,Quarter-finals,Stadio Olimpico,Rome ,Italy,1,0,Republic of Ireland, ,H,Italy,1
458,1990,01-Jul-90, 17:00 ,Quarter-finals,Giuseppe Meazza,Milan ,Germany FR,1,0,Czechoslovakia, ,H,Germany FR,1
459,1990,01-Jul-90, 21:00 ,Quarter-finals,San Paolo,Naples ,England,3,2,Cameroon,England win after extra time ,H,England,5
460,1990,03-Jul-90, 20:00 ,Semi-finals,San Paolo,Naples ,Italy,1,1,Argentina, win on penalties (3 - 4) ,D,Draw,2
461,1990,04-Jul-90, 20:00 ,Semi-finals,Stadio delle Alpi,Turin ,Germany FR,1,1,England, win on penalties (4 - 3) ,D,Draw,2
462,1990,07-Jul-90, 20:00 ,Match for third place,Stadio San Nicola,Bari ,Italy,2,1,England, ,H,Italy,3
463,1990,08-Jul-90, 20:00 ,Final,Stadio Olimpico,Rome ,Germany FR,1,0,Argentina, ,H,Germany FR,1
464,1994,17-Jun-94, 19:30 ,Group C,Cotton Bowl,Dallas ,Spain,2,2,Korea Republic, ,D,Draw,4
465,1994,17-Jun-94, 15:00 ,Group C,Soldier Field,Chicago ,Germany,1,0,Bolivia, ,H,Germany,1
466,1994,18-Jun-94, 11:30 ,Group A,Pontiac Silverdome,Detroit ,USA,1,1,Switzerland, ,D,Draw,2
467,1994,18-Jun-94, 16:00 ,Group E,Giants Stadium,New York/New Jersey ,Italy,0,1,Republic of Ireland, ,A,Republic of Ireland,1
468,1994,18-Jun-94, 19:30 ,Group A,Rose Bowl,Los Angeles ,Colombia,1,3,Romania, ,A,Romania,4
469,1994,19-Jun-94, 12:30 ,Group F,Citrus Bowl,Orlando ,Belgium,1,0,Morocco, ,H,Belgium,1
470,1994,19-Jun-94, 16:00 ,Group E,RFK Stadium,Washington Dc ,Norway,1,0,Mexico, ,H,Norway,1
471,1994,19-Jun-94, 19:30 ,Group B,Rose Bowl,Los Angeles ,Cameroon,2,2,Sweden, ,D,Draw,4
472,1994,20-Jun-94, 19:30 ,Group F,RFK Stadium,Washington Dc ,Netherlands,2,1,Saudi Arabia, ,H,Netherlands,3
473,1994,20-Jun-94, 16:00 ,Group B,Stanford Stadium,San Francisco ,Brazil,2,0,Russia, ,H,Brazil,2
474,1994,21-Jun-94, 12:30 ,Group D,Foxboro Stadium,Boston ,Argentina,4,0,Greece, ,H,Argentina,4
475,1994,21-Jun-94, 19:30 ,Group D,Cotton Bowl,Dallas ,Nigeria,3,0,Bulgaria, ,H,Nigeria,3
476,1994,21-Jun-94, 16:00 ,Group C,Soldier Field,Chicago ,Germany,1,1,Spain, ,D,Draw,2
477,1994,22-Jun-94, 16:00 ,Group A,Pontiac Silverdome,Detroit ,Romania,1,4,Switzerland, ,A,Switzerland,5
478,1994,22-Jun-94, 19:30 ,Group A,Rose Bowl,Los Angeles ,USA,2,1,Colombia, ,H,USA,3
479,1994,23-Jun-94, 16:00 ,Group E,Giants Stadium,New York/New Jersey ,Italy,1,0,Norway, ,H,Italy,1
480,1994,23-Jun-94, 19:30 ,Group C,Foxboro Stadium,Boston ,Korea Republic,0,0,Bolivia, ,D,Draw,0
481,1994,24-Jun-94, 12:30 ,Group E,Citrus Bowl,Orlando ,Mexico,2,1,Republic of Ireland, ,H,Mexico,3
482,1994,24-Jun-94, 19:30 ,Group B,Pontiac Silverdome,Detroit ,Sweden,3,1,Russia, ,H,Sweden,4
483,1994,24-Jun-94, 16:00 ,Group B,Stanford Stadium,San Francisco ,Brazil,3,0,Cameroon, ,H,Brazil,3
484,1994,25-Jun-94, 12:30 ,Group F,Citrus Bowl,Orlando ,Belgium,1,0,Netherlands, ,H,Belgium,1
485,1994,25-Jun-94, 12:30 ,Group F,Giants Stadium,New York/New Jersey ,Saudi Arabia,2,1,Morocco, ,H,Saudi Arabia,3
486,1994,25-Jun-94, 16:00 ,Group D,Foxboro Stadium,Boston ,Argentina,2,1,Nigeria, ,H,Argentina,3
487,1994,26-Jun-94, 12:30 ,Group D,Soldier Field,Chicago ,Bulgaria,4,0,Greece, ,H,Bulgaria,4
488,1994,26-Jun-94, 16:00 ,Group A,Rose Bowl,Los Angeles ,USA,0,1,Romania, ,A,Romania,1
489,1994,26-Jun-94, 16:00 ,Group A,Stanford Stadium,San Francisco ,Switzerland,0,2,Colombia, ,A,Colombia,2
490,1994,27-Jun-94, 16:00 ,Group C,Cotton Bowl,Dallas ,Germany,3,2,Korea Republic, ,H,Germany,5
491,1994,27-Jun-94, 16:00 ,Group C,Soldier Field,Chicago ,Bolivia,1,3,Spain, ,A,Spain,4
492,1994,28-Jun-94, 12:30 ,Group E,Giants Stadium,New York/New Jersey ,Republic of Ireland,0,0,Norway, ,D,Draw,0
493,1994,28-Jun-94, 16:00 ,Group B,Pontiac Silverdome,Detroit ,Brazil,1,1,Sweden, ,D,Draw,2
494,1994,28-Jun-94, 12:30 ,Group E,RFK Stadium,Washington Dc ,Italy,1,1,Mexico, ,D,Draw,2
495,1994,28-Jun-94, 16:00 ,Group B,Stanford Stadium,San Francisco ,Russia,6,1,Cameroon, ,H,Russia,7
496,1994,29-Jun-94, 12:30 ,Group F,Citrus Bowl,Orlando ,Morocco,1,2,Netherlands, ,A,Netherlands,3
497,1994,29-Jun-94, 12:30 ,Group F,RFK Stadium,Washington Dc ,Belgium,0,1,Saudi Arabia, ,A,Saudi Arabia,1
498,1994,30-Jun-94, 19:30 ,Group D,Foxboro Stadium,Boston ,Greece,0,2,Nigeria, ,A,Nigeria,2
499,1994,30-Jun-94, 19:30 ,Group D,Cotton Bowl,Dallas ,Argentina,0,2,Bulgaria, ,A,Bulgaria,2
500,1994,02-Jul-94, 12:00 ,Round of 16,Soldier Field,Chicago ,Germany,3,2,Belgium, ,H,Germany,5
501,1994,02-Jul-94, 16:30 ,Round of 16,RFK Stadium,Washington Dc ,Spain,3,0,Switzerland, ,H,Spain,3
502,1994,03-Jul-94, 12:00 ,Round of 16,Cotton Bowl,Dallas ,Saudi Arabia,1,3,Sweden, ,A,Sweden,4
503,1994,03-Jul-94, 13:30 ,Round of 16,Rose Bowl,Los Angeles ,Romania,3,2,Argentina, ,H,Romania,5
504,1994,04-Jul-94, 12:00 ,Round of 16,Citrus Bowl,Orlando ,Netherlands,2,0,Republic of Ireland, ,H,Netherlands,2
505,1994,04-Jul-94, 12:30 ,Round of 16,Stanford Stadium,San Francisco ,Brazil,1,0,USA, ,H,Brazil,1
506,1994,05-Jul-94, 13:00 ,Round of 16,Foxboro Stadium,Boston ,Nigeria,1,2,Italy,Italy win after extra time ,A,Italy,3
507,1994,05-Jul-94, 16:30 ,Round of 16,Giants Stadium,New York/New Jersey ,Mexico,1,1,Bulgaria,Bulgaria win on penalties (1 - 3) ,D,Draw,2
508,1994,09-Jul-94, 12:00 ,Quarter-finals,Foxboro Stadium,Boston ,Italy,2,1,Spain, ,H,Italy,3
509,1994,09-Jul-94, 14:30 ,Quarter-finals,Cotton Bowl,Dallas ,Netherlands,2,3,Brazil, ,A,Brazil,5
510,1994,10-Jul-94, 12:00 ,Quarter-finals,Giants Stadium,New York/New Jersey ,Bulgaria,2,1,Germany, ,H,Bulgaria,3
511,1994,10-Jul-94, 12:30 ,Quarter-finals,Stanford Stadium,San Francisco ,Romania,2,2,Sweden,Sweden win on penalties (4 - 5) ,D,Draw,4
512,1994,13-Jul-94, 16:00 ,Semi-finals,Giants Stadium,New York/New Jersey ,Bulgaria,1,2,Italy, ,A,Italy,3
513,1994,13-Jul-94, 16:30 ,Semi-finals,Rose Bowl,Los Angeles ,Sweden,0,1,Brazil, ,A,Brazil,1
514,1994,16-Jul-94, 12:30 ,Match for third place,Rose Bowl,Los Angeles ,Sweden,4,0,Bulgaria, ,H,Sweden,4
515,1994,17-Jul-94, 12:30 ,Final,Rose Bowl,Los Angeles ,Brazil,0,0,Italy,Brazil win on penalties (3 - 2) ,D,Draw,0
516,1998,10-Jun-98, 17:30 ,Group A,Stade de France,Saint-Denis ,Brazil,2,1,Scotland, ,H,Brazil,3
517,1998,10-Jun-98, 21:00 ,Group A,La Mosson,Montpellier ,Morocco,2,2,Norway, ,D,Draw,4
518,1998,11-Jun-98, 17:30 ,Group B,Stade du Parc Lescure,Bordeaux ,Italy,2,2,Chile, ,D,Draw,4
519,1998,11-Jun-98, 21:00 ,Group B,Stade Municipal,Toulouse ,Cameroon,1,1,Austria, ,D,Draw,2
520,1998,12-Jun-98, 14:30 ,Group D,La Mosson,Montpellier ,Paraguay,0,0,Bulgaria, ,D,Draw,0
521,1998,12-Jun-98, 17:30 ,Group C,Stade Felix Bollaert,Lens ,Saudi Arabia,0,1,Denmark, ,A,Denmark,1
522,1998,12-Jun-98, 21:00 ,Group C,Stade V�lodrome,Marseilles ,France,3,0,South Africa, ,H,France,3
