,Year,Date,Time,Round,Stadium,City,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Outcome,Winner,TotalGoals
691,2006,23-Jun-06, 21:00 ,Group G,"FIFA World Cup Stadium, Hanover",Hanover ,Switzerland,2,0,Korea Republic, ,H,Switzerland,2
692,2006,24-Jun-06, 17:00 ,Round of 16,"FIFA World Cup Stadium, Munich",Munich ,Germany,2,0,Sweden, ,H,Germany,2
693,2006,24-Jun-06, 21:00 ,Round of 16,Zentralstadion,Leipzig ,Argentina,2,1,Mexico,Argentina win after extra time ,H,Argentina,3
694,2006,25-Jun-06, 17:00 ,Round of 16,Gottlieb-Daimler-Stadion,Stuttgart ,England,1,0,Ecuador, ,H,England,1
695,2006,25-Jun-06, 21:00 ,Round of 16,Franken-Stadion,Nuremberg ,Portugal,1,0,Netherlands, ,H,Portugal,1
696,2006,26-Jun-06, 17:00 ,Round of 16,Fritz-Walter-Stadion,Kaiserslautern ,Italy,1,0,Australia, ,H,Italy,1
697,2006,26-Jun-06, 21:00 ,Round of 16,"FIFA World Cup Stadium, Cologne",Cologne ,Switzerland,0,0,Ukraine,Ukraine win on penalties (0 - 3) ,D,Draw,0
698,2006,27-Jun-06, 17:00 ,Round of 16,"FIFA World Cup Stadium, Dortmund",Dortmund ,Brazil,3,0,Ghana, ,H,Brazil,3
699,2006,27-Jun-06, 21:00 ,Round of 16,"FIFA World Cup Stadium, Hanover",Hanover ,Spain,1,3,France, ,A,France,4
700,2006,30-Jun-06, 17:00 ,Quarter-finals,Olympiastadion,Berlin ,Germany,1,1,Argentina,Germany win on penalties (4 - 2) ,D,Draw,2
701,2006,30-Jun-06, 21:00 ,Quarter-finals,"FIFA World Cup Stadium, Hamburg",Hamburg ,Italy,3,0,Ukraine, ,H,Italy,3
702,2006,01-Jul-06, 17:00 ,Quarter-finals,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,England,0,0,Portugal,Portugal win on penalties (1 - 3) ,D,Draw,0
703,2006,01-Jul-06, 21:00 ,Quarter-finals,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Brazil,0,1,France, ,A,France,1
704,2006,04-Jul-06, 21:00 ,Semi-finals,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,0,2,Italy,Italy win after extra time ,A,Italy,2
705,2006,05-Jul-06, 21:00 ,Semi-finals,"FIFA World Cup Stadium, Munich",Munich ,Portugal,0,1,France, ,A,France,1
706,2006,08-Jul-06, 21:00 ,Third place,Gottlieb-Daimler-Stadion,Stuttgart ,Germany,3,1,Portugal, ,H,Germany,4
707,2006,09-Jul-06, 20:00 ,Final,Olympiastadion,Berlin ,Italy,1,1,France,Italy win on penalties (5 - 3) ,D,Draw,2
708,2010,11-Jun-10, 16:00 ,Group A,Soccer City Stadium,Johannesburg ,South Africa,1,1,Mexico, ,D,Draw,2
709,2010,11-Jun-10, 20:30 ,Group A,Cape Town Stadium,Cape Town ,Uruguay,0,0,France, ,D,Draw,0
710,2010,12-Jun-10, 13:30 ,Group B,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,Korea Republic,2,0,Greece, ,H,Korea Republic,2
711,2010,12-Jun-10, 16:00 ,Group B,Ellis Park Stadium,Johannesburg ,Argentina,1,0,Nigeria, ,H,Argentina,1
712,2010,12-Jun-10, 20:30 ,Group C,Royal Bafokeng Sports Palace,Phokeng ,England,1,1,USA, ,D,Draw,2
713,2010,13-Jun-10, 13:30 ,Group C,Peter Mokaba Stadium,Polokwane ,Algeria,0,1,Slovenia, ,A,Slovenia,1
714,2010,13-Jun-10, 16:00 ,Group D,Loftus Versfeld Stadium,Tshwane/Pretoria ,Serbia,0,1,Ghana, ,A,Ghana,1
715,2010,13-Jun-10, 20:30 ,Group D,Durban Stadium,Durban ,Germany,4,0,Australia, ,H,Germany,4
716,2010,14-Jun-10, 13:30 ,Group E,Soccer City Stadium,Johannesburg ,Netherlands,2,0,Denmark, ,H,Netherlands,2
717,2010,14-Jun-10, 16:00 ,Group E,Free State Stadium,Mangaung/Bloemfontein ,Japan,1,0,Cameroon, ,H,Japan,1
718,2010,14-Jun-10, 20:30 ,Group F,Cape Town Stadium,Cape Town ,Italy,1,1,Paraguay, ,D,Draw,2
719,2010,15-Jun-10, 13:30 ,Group F,Royal Bafokeng Sports Palace,Phokeng ,New Zealand,1,1,Slovakia, ,D,Draw,2
720,2010,15-Jun-10, 16:00 ,Group G,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,C�te d'Ivoire,0,0,Portugal, ,D,Draw,0
721,2010,15-Jun-10, 20:30 ,Group G,Ellis Park Stadium,Johannesburg ,Brazil,2,1,Korea DPR, ,H,Brazil,3
722,2010,16-Jun-10, 13:30 ,Group H,Mbombela Stadium,Nelspruit ,Honduras,0,1,Chile, ,A,Chile,1
723,2010,16-Jun-10, 16:00 ,Group H,Durban Stadium,Durban ,Spain,0,1,Switzerland, ,A,Switzerland,1
724,2010,16-Jun-10, 20:30 ,Group A,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,0,3,Uruguay, ,A,Uruguay,3
725,2010,17-Jun-10, 13:30 ,Group B,Soccer City Stadium,Johannesburg ,Argentina,4,1,Korea Republic, ,H,Argentina,5
726,2010,17-Jun-10, 16:00 ,Group B,Free State Stadium,Mangaung/Bloemfontein ,Greece,2,1,Nigeria, ,H,Greece,3
727,2010,17-Jun-10, 20:30 ,Group A,Peter Mokaba Stadium,Polokwane ,France,0,2,Mexico, ,A,Mexico,2
728,2010,18-Jun-10, 13:30 ,Group D,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,Germany,0,1,Serbia, ,A,Serbia,1
729,2010,18-Jun-10, 16:00 ,Group C,Ellis Park Stadium,Johannesburg ,Slovenia,2,2,USA, ,D,Draw,4
730,2010,18-Jun-10, 20:30 ,Group C,Cape Town Stadium,Cape Town ,England,0,0,Algeria, ,D,Draw,0
731,2010,19-Jun-10, 13:30 ,Group E,Durban Stadium,Durban ,Netherlands,1,0,Japan, ,H,Netherlands,1
732,2010,19-Jun-10, 16:00 ,Group D,Royal Bafokeng Sports Palace,Phokeng ,Ghana,1,1,Australia, ,D,Draw,2
733,2010,19-Jun-10, 20:30 ,Group E,Loftus Versfeld Stadium,Tshwane/Pretoria ,Cameroon,1,2,Denmark, ,A,Denmark,3
734,2010,20-Jun-10, 13:30 ,Group F,Free State Stadium,Mangaung/Bloemfontein ,Slovakia,0,2,Paraguay, ,A,Paraguay,2
735,2010,20-Jun-10, 16:00 ,Group F,Mbombela Stadium,Nelspruit ,Italy,1,1,New Zealand, ,D,Draw,2
736,2010,20-Jun-10, 20:30 ,Group G,Soccer City Stadium,Johannesburg ,Brazil,3,1,C�te d'Ivoire, ,H,Brazil,4
737,2010,21-Jun-10, 13:30 ,Group G,Cape Town Stadium,Cape Town ,Portugal,7,0,Korea DPR, ,H,Portugal,7
738,2010,21-Jun-10, 16:00 ,Group H,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,Chile,1,0,Switzerland, ,H,Chile,1
739,2010,21-Jun-10, 20:30 ,Group H,Ellis Park Stadium,Johannesburg ,Spain,2,0,Honduras, ,H,Spain,2
740,2010,22-Jun-10, 16:00 ,Group A,Royal Bafokeng Sports Palace,Phokeng ,Mexico,0,1,Uruguay, ,A,Uruguay,1
741,2010,22-Jun-10, 16:00 ,Group A,Free State Stadium,Mangaung/Bloemfontein ,France,1,2,South Africa, ,A,South Africa,3
742,2010,22-Jun-10, 20:30 ,Group B,Durban Stadium,Durban ,Nigeria,2,2,Korea Republic, ,D,Draw,4
743,2010,22-Jun-10, 20:30 ,Group B,Peter Mokaba Stadium,Polokwane ,Greece,0,2,Argentina, ,A,Argentina,2
744,2010,23-Jun-10, 16:00 ,Group C,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,Slovenia,0,1,England, ,A,England,1
745,2010,23-Jun-10, 16:00 ,Group C,Loftus Versfeld Stadium,Tshwane/Pretoria ,USA,1,0,Algeria, ,H,USA,1
746,2010,23-Jun-10, 20:30 ,Group D,Soccer City Stadium,Johannesburg ,Ghana,0,1,Germany, ,A,Germany,1
747,2010,23-Jun-10, 20:30 ,Group D,Mbombela Stadium,Nelspruit ,Australia,2,1,Serbia, ,H,Australia,3
748,2010,24-Jun-10, 16:00 ,Group F,Ellis Park Stadium,Johannesburg ,Slovakia,3,2,Italy, ,H,Slovakia,5
749,2010,24-Jun-10, 16:00 ,Group F,Peter Mokaba Stadium,Polokwane ,Paraguay,0,0,New Zealand, ,D,Draw,0
750,2010,24-Jun-10, 20:30 ,Group E,Royal Bafokeng Sports Palace,Phokeng ,Denmark,1,3,Japan, ,A,Japan,4
751,2010,24-Jun-10, 20:30 ,Group E,Cape Town Stadium,Cape Town ,Cameroon,1,2,Netherlands, ,A,Netherlands,3
752,2010,25-Jun-10, 16:00 ,Group G,Durban Stadium,Durban ,Portugal,0,0,Brazil, ,D,Draw,0
753,2010,25-Jun-10, 16:00 ,Group G,Mbombela Stadium,Nelspruit ,Korea DPR,0,3,C�te d'Ivoire, ,A,C�te d'Ivoire,3
754,2010,25-Jun-10, 20:30 ,Group H,Loftus Versfeld Stadium,Tshwane/Pretoria ,Chile,1,2,Spain, ,A,Spain,3
755,2010,25-Jun-10, 20:30 ,Group H,Free State Stadium,Mangaung/Bloemfontein ,Switzerland,0,0,Honduras, ,D,Draw,0
756,2010,26-Jun-10, 16:00 ,Round of 16,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,Uruguay,2,1,Korea Republic, ,H,Uruguay,3
757,2010,26-Jun-10, 20:30 ,Round of 16,Royal Bafokeng Sports Palace,Phokeng ,USA,1,2,Ghana,Ghana win after extra time ,A,Ghana,3
758,2010,27-Jun-10, 16:00 ,Round of 16,Free State Stadium,Mangaung/Bloemfontein ,Germany,4,1,England, ,H,Germany,5
759,2010,27-Jun-10, 20:30 ,Round of 16,Soccer City Stadium,Johannesburg ,Argentina,3,1,Mexico, ,H,Argentina,4
760,2010,28-Jun-10, 16:00 ,Round of 16,Durban Stadium,Durban ,Netherlands,2,1,Slovakia, ,H,Netherlands,3
761,2010,28-Jun-10, 20:30 ,Round of 16,Ellis Park Stadium,Johannesburg ,Brazil,3,0,Chile, ,H,Brazil,3
762,2010,29-Jun-10, 16:00 ,Round of 16,Loftus Versfeld Stadium,Tshwane/Pretoria ,Paraguay,0,0,Japan,Paraguay win on penalties (5 - 3) ,D,Draw,0
763,2010,29-Jun-10, 20:30 ,Round of 16,Cape Town Stadium,Cape Town ,Spain,1,0,Portugal, ,H,Spain,1
764,2010,02-Jul-10, 16:00 ,Quarter-finals,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,Netherlands,2,1,Brazil, ,H,Netherlands,3
765,2010,02-Jul-10, 20:30 ,Quarter-finals,Soccer City Stadium,Johannesburg ,Uruguay,1,1,Ghana,Uruguay win on penalties (4 - 2) ,D,Draw,2
766,2010,03-Jul-10, 16:00 ,Quarter-finals,Cape Town Stadium,Cape Town ,Argentina,0,4,Germany, ,A,Germany,4
767,2010,03-Jul-10, 20:30 ,Quarter-finals,Ellis Park Stadium,Johannesburg ,Paraguay,0,1,Spain, ,A,Spain,1
768,2010,06-Jul-10, 20:30 ,Semi-finals,Cape Town Stadium,Cape Town ,Uruguay,2,3,Netherlands, ,A,Netherlands,5
769,2010,07-Jul-10, 20:30 ,Semi-finals,Durban Stadium,Durban ,Germany,0,1,Spain, ,A,Spain,1
770,2010,10-Jul-10, 20:30 ,Match for third place,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,Uruguay,2,3,Germany, ,A,Germany,5
771,2010,11-Jul-10, 20:30 ,Final,Soccer City Stadium,Johannesburg ,Netherlands,0,1,Spain,Spain win after extra time ,A,Spain,1
772,2014,12-Jun-14, 17:00 ,Group A,Arena de Sao Paulo,Sao Paulo ,Brazil,3,1,Croatia, ,H,Brazil,4
773,2014,13-Jun-14, 13:00 ,Group A,Estadio das Dunas,Natal ,Mexico,1,0,Cameroon, ,H,Mexico,1
774,2014,13-Jun-14, 16:00 ,Group B,Arena Fonte Nova,Salvador ,Spain,1,5,Netherlands, ,A,Netherlands,6
775,2014,13-Jun-14, 18:00 ,Group B,Arena Pantanal,Cuiaba ,Chile,3,1,Australia, ,H,Chile,4
776,2014,14-Jun-14, 13:00 ,Group C,Estadio Mineirao,Belo Horizonte ,Colombia,3,0,Greece, ,H,Colombia,3
777,2014,14-Jun-14, 16:00 ,Group D,Estadio Castelao,Fortaleza ,Uruguay,1,3,Costa Rica, ,A,Costa Rica,4
778,2014,14-Jun-14, 18:00 ,Group D,Arena Amazonia,Manaus ,England,1,2,Italy, ,A,Italy,3
779,2014,14-Jun-14, 22:00 ,Group C,Arena Pernambuco,Recife ,C�te d'Ivoire,2,1,Japan, ,H,C�te d'Ivoire,3
780,2014,15-Jun-14, 13:00 ,Group E,Estadio Nacional,Brasilia ,Switzerland,2,1,Ecuador, ,H,Switzerland,3
781,2014,15-Jun-14, 16:00 ,Group E,Estadio Beira-Rio,Porto Alegre ,France,3,0,Honduras, ,H,France,3
782,2014,15-Jun-14, 19:00 ,Group F,Estadio do Maracana,Rio De Janeiro ,Argentina,2,1,Bosnia and Herzegovina, ,H,Argentina,3
783,2014,16-Jun-14, 13:00 ,Group G,Arena Fonte Nova,Salvador ,Germany,4,0,Portugal, ,H,Germany,4
784,2014,16-Jun-14, 16:00 ,Group F,Arena da Baixada,Curitiba ,IR Iran,0,0,Nigeria, ,D,Draw,0
785,2014,16-Jun-14, 19:00 ,Group G,Estadio das Dunas,Natal ,Ghana,1,2,USA, ,A,USA,3
786,2014,17-Jun-14, 13:00 ,Group H,Estadio Mineirao,Belo Horizonte ,Belgium,2,1,Algeria, ,H,Belgium,3
787,2014,17-Jun-14, 16:00 ,Group A,Estadio Castelao,Fortaleza ,Brazil,0,0,Mexico, ,D,Draw,0
788,2014,17-Jun-14, 18:00 ,Group H,Arena Pantanal,Cuiaba ,Russia,1,1,Korea Republic, ,D,Draw,2
789,2014,18-Jun-14, 13:00 ,Group B,Estadio Beira-Rio,Porto Alegre ,Australia,2,3,Netherlands, ,A,Netherlands,5
790,2014,18-Jun-14, 16:00 ,Group B,Estadio do Maracana,Rio De Janeiro ,Spain,0,2,Chile, ,A,Chile,2
791,2014,18-Jun-14, 18:00 ,Group A,Arena Amazonia,Manaus ,Cameroon,0,4,Croatia, ,A,Croatia,4
792,2014,19-Jun-14, 13:00 ,Group C,Estadio Nacional,Brasilia ,Colombia,2,1,C�te d'Ivoire, ,H,Colombia,3
793,2014,19-Jun-14, 16:00 ,Group D,Arena de Sao Paulo,Sao Paulo ,Uruguay,2,1,England, ,H,Uruguay,3
794,2014,19-Jun-14, 19:00 ,Group C,Estadio das Dunas,Natal ,Japan,0,0,Greece, ,D,Draw,0
795,2014,20-Jun-14, 13:00 ,Group D,Arena Pernambuco,Recife ,Italy,0,1,Costa Rica, ,A,Costa Rica,1
796,2014,20-Jun-14, 16:00 ,Group E,Arena Fonte Nova,Salvador ,Switzerland,2,5,France, ,A,France,7
797,2014,20-Jun-14, 19:00 ,Group E,Arena da Baixada,Curitiba ,Honduras,1,2,Ecuador, ,A,Ecuador,3
798,2014,21-Jun-14, 13:00 ,Group F,Estadio Mineirao,Belo Horizonte ,Argentina,1,0,IR Iran, ,H,Argentina,1
799,2014,21-Jun-14, 16:00 ,Group G,Estadio Castelao,Fortaleza ,Germany,2,2,Ghana, ,D,Draw,4
800,2014,21-Jun-14, 18:00 ,Group F,Arena Pantanal,Cuiaba ,Nigeria,1,0,Bosnia and Herzegovina, ,H,Nigeria,1
801,2014,22-Jun-14, 13:00 ,Group H,Estadio do Maracana,Rio De Janeiro ,Belgium,1,0,Russia, ,H,Belgium,1
802,2014,22-Jun-14, 16:00 ,Group H,Estadio Beira-Rio,Porto Alegre ,Korea Republic,2,4,Algeria, ,A,Algeria,6
803,2014,22-Jun-14, 18:00 ,Group G,Arena Amazonia,Manaus ,USA,2,2,Portugal, ,D,Draw,4
804,2014,23-Jun-14, 13:00 ,Group B,Arena da Baixada,Curitiba ,Australia,0,3,Spain, ,A,Spain,3
805,2014,23-Jun-14, 13:00 ,Group B,Arena de Sao Paulo,Sao Paulo ,Netherlands,2,0,Chile, ,H,Netherlands,2
806,2014,23-Jun-14, 17:00 ,Group A,Estadio Nacional,Brasilia ,Cameroon,1,4,Brazil, ,A,Brazil,5
807,2014,23-Jun-14, 17:00 ,Group A,Arena Pernambuco,Recife ,Croatia,1,3,Mexico, ,A,Mexico,4
808,2014,24-Jun-14, 13:00 ,Group D,Estadio das Dunas,Natal ,Italy,0,1,Uruguay, ,A,Uruguay,1
809,2014,24-Jun-14, 13:00 ,Group D,Estadio Mineirao,Belo Horizonte ,Costa Rica,0,0,England, ,D,Draw,0
810,2014,24-Jun-14, 16:00 ,Group C,Arena Pantanal,Cuiaba ,Japan,1,4,Colombia, ,A,Colombia,5
811,2014,24-Jun-14, 17:00 ,Group C,Estadio Castelao,Fortaleza ,Greece,2,1,C�te d'Ivoire, ,H,Greece,3
812,2014,25-Jun-14, 13:00 ,Group F,Estadio Beira-Rio,Porto Alegre ,Nigeria,2,3,Argentina, ,A,Argentina,5
813,2014,25-Jun-14, 13:00 ,Group F,Arena Fonte Nova,Salvador ,Bosnia and Herzegovina,3,1,IR Iran, ,H,Bosnia and Herzegovina,4
814,2014,25-Jun-14, 16:00 ,Group E,Arena Amazonia,Manaus ,Honduras,0,3,Switzerland, ,A,Switzerland,3
815,2014,25-Jun-14, 17:00 ,Group E,Estadio do Maracana,Rio De Janeiro ,Ecuador,0,0,France, ,D,Draw,0
816,2014,26-Jun-14, 13:00 ,Group G,Arena Pernambuco,Recife ,USA,0,1,Germany, ,A,Germany,1
817,2014,26-Jun-14, 13:00 ,Group G,Estadio Nacional,Brasilia ,Portugal,2,1,Ghana, ,H,Portugal,3
818,2014,26-Jun-14, 17:00 ,Group H,Arena de Sao Paulo,Sao Paulo ,Korea Republic,0,1,Belgium, ,A,Belgium,1
819,2014,26-Jun-14, 17:00 ,Group H,Arena da Baixada,Curitiba ,Algeria,1,1,Russia, ,D,Draw,2
820,2014,28-Jun-14, 13:00 ,Round of 16,Estadio Mineirao,Belo Horizonte ,Brazil,1,1,Chile,Brazil win on penalties (3 - 2) ,D,Draw,2
821,2014,28-Jun-14, 17:00 ,Round of 16,Estadio do Maracana,Rio De Janeiro ,Colombia,2,0,Uruguay, ,H,Colombia,2
822,2014,30-Jun-14, 13:00 ,Round of 16,Estadio Nacional,Brasilia ,France,2,0,Nigeria, ,H,France,2
823,2014,30-Jun-14, 17:00 ,Round of 16,Estadio Beira-Rio,Porto Alegre ,Germany,2,1,Algeria,Germany win after extra time ,H,Germany,3
824,2014,04-Jul-14, 17:00 ,Quarter-finals,Estadio Castelao,Fortaleza ,Brazil,2,1,Colombia, ,H,Brazil,3
825,2014,04-Jul-14, 13:00 ,Quarter-finals,Estadio do Maracana,Rio De Janeiro ,France,0,1,Germany, ,A,Germany,1
826,2014,08-Jul-14, 17:00 ,Semi-finals,Estadio Mineirao,Belo Horizonte ,Brazil,1,7,Germany, ,A,Germany,8
827,2014,12-Jul-14, 17:00 ,Play-off for third place,Estadio Nacional,Brasilia ,Brazil,0,3,Netherlands, ,A,Netherlands,3
828,2014,13-Jul-14, 16:00 ,Final,Estadio do Maracana,Rio De Janeiro ,Germany,1,0,Argentina,Germany win after extra time ,H,Germany,1
829,2014,09-Jul-14, 17:00 ,Semi-finals,Arena de Sao Paulo,Sao Paulo ,Netherlands,0,0,Argentina,Argentina win on penalties (2 - 4) ,D,Draw,0
830,2014,05-Jul-14, 17:00 ,Quarter-finals,Arena Fonte Nova,Salvador ,Netherlands,0,0,Costa Rica,Netherlands win on penalties (4 - 3) ,D,Draw,0
831,2014,05-Jul-14, 13:00 ,Quarter-finals,Estadio Nacional,Brasilia ,Argentina,1,0,Belgium, ,H,Argentina,1
832,2014,29-Jun-14, 13:00 ,Round of 16,Estadio Castelao,Fortaleza ,Netherlands,2,1,Mexico, ,H,Netherlands,3
833,2014,29-Jun-14, 17:00 ,Round of 16,Arena Pernambuco,Recife ,Costa Rica,1,1,Greece,Costa Rica win on penalties (5 - 3) ,D,Draw,2
834,2014,01-Jul-14, 13:00 ,Round of 16,Arena de Sao Paulo,Sao Paulo ,Argentina,1,0,Switzerland,Argentina win after extra time ,H,Argentina,1
835,2014,01-Jul-14, 17:00 ,Round of 16,Arena Fonte Nova,Salvador ,Belgium,2,1,USA,Belgium win after extra time ,H,Belgium,3
836,2014,28-Jun-14, 13:00 ,Round of 16,Estadio Mineirao,Belo Horizonte ,Brazil,1,1,Chile,Brazil win on penalties (3 - 2) ,D,Draw,2
837,2014,28-Jun-14, 17:00 ,Round of 16,Estadio do Maracana,Rio De Janeiro ,Colombia,2,0,Uruguay, ,H,Colombia,2
838,2014,29-Jun-14, 13:00 ,Round of 16,Estadio Castelao,Fortaleza ,Netherlands,2,1,Mexico, ,H,Netherlands,3
839,2014,29-Jun-14, 17:00 ,Round of 16,Arena Pernambuco,Recife ,Costa Rica,1,1,Greece,Costa Rica win on penalties (5 - 3) ,D,Draw,2
840,2014,30-Jun-14, 13:00 ,Round of 16,Estadio Nacional,Brasilia ,France,2,0,Nigeria, ,H,France,2
841,2014,30-Jun-14, 17:00 ,Round of 16,Estadio Beira-Rio,Porto Alegre ,Germany,2,1,Algeria,Germany win after extra time ,H,Germany,3
842,2014,01-Jul-14, 13:00 ,Round of 16,Arena de Sao Paulo,Sao Paulo ,Argentina,1,0,Switzerland,Argentina win after extra time ,H,Argentina,1
843,2014,01-Jul-14, 17:00 ,Round of 16,Arena Fonte Nova,Salvador ,Belgium,2,1,USA,Belgium win after extra time ,H,Belgium,3
844,2014,04-Jul-14, 13:00 ,Quarter-finals,Estadio do Maracana,Rio De Janeiro ,France,0,1,Germany, ,A,Germany,1
845,2014,04-Jul-14, 17:00 ,Quarter-finals,Estadio Castelao,Fortaleza ,Brazil,2,1,Colombia, ,H,Brazil,3
846,2014,05-Jul-14, 13:00 ,Quarter-finals,Estadio Nacional,Brasilia ,Argentina,1,0,Belgium, ,H,Argentina,1
847,2014,05-Jul-14, 17:00 ,Quarter-finals,Arena Fonte Nova,Salvador ,Netherlands,0,0,Costa Rica,Netherlands win on penalties (4 - 3) ,D,Draw,0
848,2014,08-Jul-14, 17:00 ,Semi-finals,Estadio Mineirao,Belo Horizonte ,Brazil,1,7,Germany, ,A,Germany,8
849,2014,09-Jul-14, 17:00 ,Semi-finals,Arena de Sao Paulo,Sao Paulo ,Netherlands,0,0,Argentina,Argentina win on penalties (2 - 4) ,D,Draw,0
850,2014,12-Jul-14, 17:00 ,Play-off for third place,Estadio Nacional,Brasilia ,Brazil,0,3,Netherlands, ,A,Netherlands,3
851,2014,13-Jul-14, 16:00 ,Final,Estadio do Maracana,Rio De Janeiro ,Germany,1,0,Argentina,Germany win after extra time ,H,Germany,1
